elapsed_sec,mem_mb
0.5,193.8
1,467.6
1.5,370.4
2.1,575.6
2.6,775.6
3.1,941.9
3.6,1083.8
4.1,1169.1
4.6,1169.2
5.2,1169.2
5.7,1169.2
6.2,1169.2
6.7,1169.2
7.2,1169.2
7.7,1169.2
8.3,1169.2
8.8,1169.2
9.3,1169.2
9.8,1169.2
10.3,1169.2
10.8,1169.2
11.3,1169.2
11.9,1169.2
12.4,1169.2
12.9,1169.2
13.4,1169.2
13.9,1169.2
14.4,1169.2
15,1169.2
15.5,1169.2
16,1169.2
16.5,1169.2
17,1169.2
17.5,1169.2
18.1,1169.2
18.6,1169.2
19.1,1169.2
19.6,1169.2
20.1,1169.2
20.7,1169.2
21.2,1169.2
21.7,1169.2
22.2,1169.2
22.7,1169.2
23.2,1169.2
23.7,1169.2
24.3,1169.2
24.8,1169.2
25.3,1169.2
25.8,1169.2
26.3,1169.2
26.8,1169.2
27.4,1169.2
27.9,1169.2
28.4,1169.2
28.9,1169.2
29.4,1169.2
29.9,1169.2
30.4,1169.1
31,1169.1
31.5,1169.1
32,1169.1
32.5,1169.1
33,1169.1
33.5,1169.1
34.1,1169.1
34.6,1169.1
35.1,1169.1
35.6,1169.1
36.1,1169.1
36.7,1169.1
37.2,1169.1
37.7,1169.1
38.2,1169.1
38.7,1169.1
39.3,1169.1
39.8,1169.1
40.3,1169.1
40.8,1169.1
41.3,1169.1
41.8,1169.1
42.4,1169.1
42.9,1169.1
43.4,1169.1
43.9,1169.1
44.4,1169.1
45,1169.1
45.5,1169.1
46,1169.1
46.5,1169.1
47,1169.1
47.6,1169.1
48.1,1169.1
48.6,1169.1
49.1,1169.1
49.6,1169.1
50.1,165.9
50.7,412.3
51.2,595.8
51.7,824
52.2,1001.3
52.7,1178.4
53.2,1290.1
53.7,1376
54.3,1440.2
